V, Td, I
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
274.0, 303.656569, 6.89300412e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
273.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
272.0, 308.188757, 6.99588477e-06
271.0, 308.188757, 6.99588477e-06
271.0, 308.188757, 6.99588477e-06
271.0, 308.188757, 6.99588477e-06
270.0, 308.188757, 6.99588477e-06
270.0, 308.188757, 6.99588477e-06
270.0, 308.188757, 6.99588477e-06
269.0, 308.188757, 6.99588477e-06
269.0, 308.188757, 6.99588477e-06
269.0, 308.188757, 6.99588477e-06
268.0, 308.188757, 6.99588477e-06
268.0, 308.188757, 6.99588477e-06
268.0, 308.188757, 6.99588477e-06
267.0, 308.188757, 6.99588477e-06
267.0, 308.188757, 6.99588477e-06
267.0, 308.188757, 6.99588477e-06
267.0, 308.188757, 6.99588477e-06
266.0, 308.188757, 6.99588477e-06
266.0, 308.188757, 6.99588477e-06
266.0, 308.188757, 6.99588477e-06
266.0, 308.188757, 6.99588477e-06
265.0, 308.188757, 6.99588477e-06
265.0, 308.188757, 6.99588477e-06
265.0, 308.188757, 6.99588477e-06
265.0, 308.188757, 6.99588477e-06
264.0, 308.188757, 6.99588477e-06
264.0, 308.188757, 6.99588477e-06
264.0, 308.188757, 6.99588477e-06
264.0, 308.188757, 6.99588477e-06
264.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
263.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
262.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
261.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
260.0, 308.188757, 6.99588477e-06
