V, Td, I
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
273.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 312.7209441453201, 7.098765432098766e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 312.7209441453201, 7.098765432098766e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
272.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
272.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
272.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 312.7209441453201, 7.098765432098766e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
270.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
271.0, 308.1887565490111, 6.995884773662552e-06
