V, Td, I
169.0, 335.38188212686504, 7.613168724279835e-06
169.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
169.0, 335.38188212686504, 7.613168724279835e-06
169.0, 335.38188212686504, 7.613168724279835e-06
169.0, 335.38188212686504, 7.613168724279835e-06
169.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
168.0, 335.38188212686504, 7.613168724279835e-06
167.0, 335.38188212686504, 7.613168724279835e-06
160.0, 335.38188212686504, 7.613168724279835e-06
155.0, 335.38188212686504, 7.613168724279835e-06
149.0, 339.91406972317395, 7.71604938271605e-06
146.0, 339.91406972317395, 7.71604938271605e-06
143.0, 339.91406972317395, 7.71604938271605e-06
140.0, 339.91406972317395, 7.71604938271605e-06
138.0, 339.91406972317395, 7.71604938271605e-06
135.0, 339.91406972317395, 7.71604938271605e-06
132.0, 344.446257319483, 7.818930041152263e-06
131.0, 344.446257319483, 7.818930041152263e-06
129.0, 344.446257319483, 7.818930041152263e-06
128.0, 344.446257319483, 7.818930041152263e-06
127.0, 344.446257319483, 7.818930041152263e-06
125.0, 344.446257319483, 7.818930041152263e-06
124.0, 344.446257319483, 7.818930041152263e-06
128.0, 344.446257319483, 7.818930041152263e-06
136.0, 344.446257319483, 7.818930041152263e-06
141.0, 344.446257319483, 7.818930041152263e-06
142.0, 344.446257319483, 7.818930041152263e-06
140.0, 344.446257319483, 7.818930041152263e-06
139.0, 344.446257319483, 7.818930041152263e-06
141.0, 344.446257319483, 7.818930041152263e-06
143.0, 344.446257319483, 7.818930041152263e-06
144.0, 344.446257319483, 7.818930041152263e-06
145.0, 344.446257319483, 7.818930041152263e-06
